iter	Passed	Remaining
0	5	5863
1	12	6069
2	17	5921
3	24	6128
4	31	6181
5	37	6180
6	43	6229
7	50	6255
8	56	6273
9	63	6269
10	69	6258
11	75	6214
12	82	6276
13	88	6261
14	95	6240
15	101	6238
16	108	6252
17	114	6257
18	121	6257
19	127	6266
20	134	6272
21	141	6298
22	148	6296
23	154	6301
24	161	6308
25	168	6304
26	174	6300
27	181	6298
28	188	6315
29	194	6298
30	201	6302
31	209	6325
32	215	6328
33	222	6323
34	229	6324
35	235	6317
36	242	6312
37	249	6313
38	255	6306
39	262	6301
40	268	6291
41	275	6281
42	281	6258
43	287	6240
44	293	6224
45	299	6212
46	306	6217
47	312	6201
48	318	6191
49	325	6186
50	331	6177
51	338	6174
52	345	6169
53	352	6168
54	358	6158
55	365	6162
56	372	6158
57	378	6148
58	385	6148
59	392	6142
60	398	6141
61	405	6132
62	411	6126
63	417	6111
64	423	6098
65	430	6096
66	436	6079
67	443	6075
68	449	6066
69	456	6061
70	462	6054
71	468	6041
72	475	6033
73	481	6024
74	487	6017
75	494	6007
76	500	6001
77	507	5994
78	513	5987
79	520	5987
80	527	5981
81	533	5977
82	540	5971
83	546	5963
84	552	5949
85	559	5944
86	565	5937
87	572	5931
88	580	5939
89	586	5929
90	592	5914
91	597	5901
92	603	5888
93	610	5881
94	616	5872
95	623	5867
96	629	5859
97	635	5853
98	643	5853
99	650	5853
100	657	5849
101	663	5843
102	670	5839
103	677	5834
104	683	5826
105	689	5815
106	695	5807
107	702	5802
108	709	5799
109	715	5791
110	722	5785
111	728	5773
112	734	5767
113	741	5759
114	746	5748
115	752	5737
116	759	5731
117	766	5725
118	772	5718
119	779	5716
120	786	5710
121	792	5704
122	799	5699
123	805	5693
124	812	5689
125	819	5684
126	825	5677
127	832	5669
128	838	5662
129	844	5652
130	850	5642
131	857	5637
132	863	5630
133	869	5622
134	876	5614
135	882	5605
136	888	5595
137	894	5590
138	901	5583
139	907	5575
140	915	5575
141	921	5569
142	928	5565
143	935	5558
144	941	5551
145	948	5547
146	954	5541
147	962	5539
148	968	5533
149	976	5533
150	983	5531
151	991	5531
152	999	5531
153	1006	5531
154	1013	5527
155	1020	5522
156	1027	5516
157	1034	5513
158	1040	5505
159	1047	5499
160	1054	5493
161	1061	5490
162	1067	5481
163	1073	5473
164	1080	5466
165	1086	5457
166	1092	5450
167	1098	5441
168	1105	5433
169	1111	5428
170	1118	5424
171	1125	5418
172	1132	5412
173	1138	5405
174	1145	5398
175	1151	5392
176	1159	5393
177	1166	5386
178	1172	5379
179	1179	5375
180	1186	5367
181	1193	5362
182	1199	5355
183	1205	5347
184	1212	5343
185	1219	5335
186	1225	5329
187	1232	5322
188	1238	5313
189	1244	5307
190	1250	5297
191	1257	5291
192	1264	5285
193	1270	5277
194	1276	5269
195	1283	5263
196	1289	5257
197	1296	5252
198	1302	5243
199	1308	5235
200	1315	5227
201	1321	5220
202	1328	5215
203	1334	5208
204	1341	5201
205	1347	5194
206	1353	5185
207	1360	5179
208	1366	5172
209	1373	5165
210	1379	5158
211	1386	5152
212	1392	5144
213	1397	5134
214	1404	5127
215	1410	5117
216	1416	5110
217	1422	5103
218	1428	5095
219	1435	5089
220	1441	5082
221	1448	5076
222	1454	5068
223	1461	5062
224	1467	5055
225	1473	5046
226	1479	5038
227	1486	5032
228	1492	5024
229	1498	5016
230	1504	5009
231	1510	5001
232	1517	4993
233	1524	4989
234	1530	4983
235	1537	4977
236	1544	4971
237	1551	4967
238	1557	4960
239	1563	4952
240	1570	4945
241	1575	4936
242	1582	4929
243	1588	4922
244	1595	4916
245	1601	4908
246	1608	4903
247	1613	4893
248	1620	4887
249	1627	4881
250	1633	4874
251	1640	4868
252	1646	4861
253	1653	4855
254	1660	4850
255	1666	4843
256	1672	4836
257	1679	4830
258	1687	4826
259	1693	4820
260	1700	4815
261	1707	4808
262	1713	4801
263	1721	4799
264	1728	4793
265	1734	4786
266	1741	4779
267	1748	4774
268	1754	4767
269	1761	4762
270	1768	4756
271	1775	4750
272	1781	4744
273	1787	4737
274	1794	4729
275	1800	4721
276	1806	4715
277	1812	4706
278	1819	4701
279	1825	4694
280	1831	4687
281	1838	4681
282	1845	4674
283	1851	4668
284	1859	4664
285	1865	4658
286	1872	4652
287	1879	4646
288	1886	4640
289	1892	4634
290	1899	4627
291	1905	4619
292	1911	4612
293	1918	4605
294	1925	4600
295	1931	4594
296	1938	4588
297	1944	4581
298	1951	4574
299	1958	4569
300	1964	4562
301	1972	4558
302	1979	4553
303	1986	4547
304	1993	4542
305	1999	4535
306	2005	4528
307	2012	4522
308	2019	4515
309	2025	4508
310	2032	4501
311	2038	4494
312	2044	4487
313	2050	4479
314	2056	4473
315	2063	4466
316	2069	4459
317	2076	4453
318	2083	4447
319	2089	4441
320	2095	4432
321	2101	4424
322	2107	4417
323	2114	4410
324	2120	4405
325	2127	4398
326	2133	4391
327	2140	4385
328	2146	4378
329	2153	4371
330	2159	4364
331	2165	4358
332	2173	4352
333	2179	4345
334	2186	4340
335	2193	4333
336	2199	4327
337	2205	4320
338	2211	4312
339	2218	4305
340	2224	4298
341	2230	4291
342	2236	4284
343	2246	4284
344	2253	4277
345	2259	4271
346	2266	4264
347	2272	4257
348	2278	4250
349	2284	4242
350	2291	4237
351	2297	4229
352	2304	4223
353	2310	4215
354	2316	4208
355	2322	4201
356	2328	4194
357	2335	4188
358	2342	4182
359	2348	4175
360	2355	4168
361	2361	4161
362	2367	4154
363	2372	4146
364	2379	4139
365	2385	4132
366	2391	4125
367	2398	4119
368	2405	4113
369	2412	4106
370	2419	4101
371	2425	4095
372	2432	4088
373	2438	4081
374	2444	4073
375	2450	4066
376	2457	4060
377	2463	4053
378	2469	4046
379	2475	4039
380	2482	4033
381	2488	4026
382	2494	4018
383	2500	4011
384	2507	4004
385	2513	3998
386	2520	3992
387	2527	3986
388	2534	3980
389	2540	3974
390	2548	3969
391	2554	3962
392	2561	3956
393	2567	3949
394	2574	3943
395	2581	3937
396	2587	3930
397	2593	3923
398	2599	3916
399	2605	3908
400	2611	3900
401	2617	3894
402	2624	3887
403	2630	3880
404	2636	3873
405	2643	3867
406	2649	3860
407	2656	3855
408	2663	3848
409	2670	3842
410	2676	3835
411	2682	3828
412	2689	3822
413	2696	3817
414	2703	3810
415	2709	3803
416	2715	3796
417	2721	3789
418	2727	3782
419	2734	3775
420	2739	3768
421	2746	3761
422	2752	3754
423	2758	3747
424	2765	3741
425	2772	3735
426	2778	3729
427	2794	3735
428	2800	3727
429	2805	3719
430	2811	3712
431	2818	3705
432	2823	3697
433	2830	3690
434	2835	3683
435	2841	3676
436	2848	3669
437	2854	3662
438	2860	3655
439	2867	3649
440	2873	3642
441	2880	3636
442	2886	3629
443	2892	3622
444	2899	3616
445	2906	3610
446	2913	3603
447	2920	3598
448	2927	3592
449	2933	3585
450	2940	3579
451	2947	3573
452	2953	3566
453	2961	3561
454	2968	3555
455	2975	3549
456	2982	3543
457	2988	3537
458	2995	3530
459	3002	3524
460	3008	3517
461	3015	3511
462	3022	3505
463	3032	3502
464	3043	3502
465	3055	3501
466	3070	3504
467	3078	3499
468	3084	3492
469	3098	3493
470	3105	3487
471	3113	3483
472	3120	3476
473	3128	3471
474	3135	3466
475	3142	3459
476	3150	3453
477	3156	3447
478	3163	3440
479	3170	3434
480	3176	3427
481	3183	3421
482	3190	3414
483	3196	3407
484	3202	3400
485	3208	3393
486	3215	3386
487	3221	3379
488	3227	3372
489	3234	3366
490	3240	3359
491	3246	3352
492	3252	3344
493	3259	3338
494	3264	3330
495	3270	3323
496	3276	3316
497	3283	3309
498	3290	3303
499	3296	3296
500	3303	3289
501	3309	3282
502	3316	3277
503	3322	3270
504	3329	3263
505	3335	3256
506	3343	3250
507	3350	3244
508	3356	3237
509	3362	3230
510	3368	3223
511	3374	3216
512	3381	3210
513	3388	3204
514	3394	3197
515	3400	3190
516	3407	3183
517	3413	3176
518	3419	3169
519	3425	3161
520	3431	3154
521	3437	3147
522	3443	3140
523	3451	3134
524	3457	3128
525	3464	3121
526	3470	3115
527	3477	3108
528	3483	3101
529	3489	3094
530	3496	3088
531	3503	3081
532	3509	3074
533	3515	3068
534	3521	3061
535	3527	3053
536	3532	3046
537	3539	3039
538	3545	3032
539	3552	3025
540	3558	3019
541	3564	3012
542	3571	3005
543	3577	2998
544	3583	2991
545	3590	2985
546	3596	2978
547	3602	2971
548	3608	2964
549	3614	2957
550	3621	2950
551	3627	2943
552	3634	2937
553	3640	2930
554	3647	2924
555	3653	2917
556	3659	2910
557	3666	2904
558	3672	2897
559	3679	2890
560	3685	2884
561	3691	2876
562	3697	2870
563	3703	2863
564	3709	2856
565	3716	2849
566	3722	2842
567	3729	2836
568	3735	2829
569	3742	2823
570	3748	2816
571	3755	2809
572	3761	2802
573	3767	2795
574	3772	2788
575	3779	2781
576	3785	2775
577	3791	2768
578	3797	2761
579	3804	2754
580	3810	2747
581	3816	2741
582	3823	2734
583	3829	2728
584	3836	2721
585	3842	2714
586	3847	2707
587	3854	2701
588	3861	2694
589	3868	2688
590	3874	2681
591	3881	2674
592	3887	2668
593	3893	2661
594	3899	2654
595	3905	2647
596	3911	2640
597	3919	2634
598	3925	2627
599	3932	2621
600	3938	2614
601	3944	2608
602	3951	2601
603	3957	2594
604	3963	2587
605	3968	2580
606	3975	2573
607	3980	2566
608	3986	2559
609	3992	2552
610	3999	2546
611	4005	2539
612	4011	2532
613	4017	2525
614	4023	2518
615	4029	2512
616	4035	2505
617	4041	2498
618	4047	2491
619	4054	2484
620	4060	2478
621	4066	2471
622	4073	2464
623	4079	2458
624	4085	2451
625	4091	2444
626	4097	2437
627	4104	2431
628	4109	2424
629	4116	2417
630	4122	2410
631	4128	2404
632	4135	2397
633	4141	2390
634	4147	2384
635	4153	2377
636	4159	2370
637	4165	2363
638	4171	2356
639	4177	2350
640	4183	2342
641	4189	2336
642	4195	2329
643	4202	2323
644	4209	2316
645	4215	2310
646	4222	2303
647	4228	2296
648	4234	2290
649	4240	2283
650	4245	2276
651	4252	2269
652	4258	2262
653	4264	2256
654	4270	2249
655	4277	2243
656	4283	2236
657	4289	2229
658	4296	2223
659	4302	2216
660	4308	2209
661	4314	2203
662	4321	2196
663	4326	2189
664	4332	2182
665	4338	2175
666	4345	2169
667	4351	2162
668	4358	2156
669	4365	2150
670	4371	2143
671	4377	2136
672	4384	2130
673	4391	2123
674	4397	2117
675	4404	2110
676	4410	2104
677	4416	2097
678	4422	2090
679	4428	2084
680	4434	2077
681	4440	2070
682	4446	2063
683	4452	2057
684	4459	2050
685	4465	2044
686	4472	2037
687	4477	2030
688	4483	2023
689	4490	2017
690	4496	2010
691	4502	2004
692	4508	1997
693	4515	1990
694	4522	1984
695	4528	1977
696	4534	1971
697	4541	1964
698	4548	1958
699	4554	1952
700	4561	1945
701	4567	1939
702	4574	1932
703	4580	1925
704	4586	1919
705	4592	1912
706	4598	1905
707	4604	1899
708	4610	1892
709	4616	1885
710	4622	1878
711	4628	1872
712	4635	1865
713	4641	1859
714	4648	1852
715	4654	1846
716	4661	1839
717	4667	1833
718	4673	1826
719	4679	1819
720	4685	1813
721	4691	1806
722	4697	1799
723	4703	1793
724	4711	1787
725	4717	1780
726	4724	1774
